DATE,Nominal GDP,Real Gross Domestic Product,CPI,Currency in Circulation,Federal Funds Effective Rate
2001-03-31,10470.231,13219.251,74.21408590944954,584.2373333333334,5.596999999999996
2001-06-30,10599.0,13301.394,74.73444239583377,591.0569999999999,4.326703296703296
2001-09-30,10598.02,13248.142,74.94539772815166,606.6926666666667,3.501521739130434
2001-12-31,10660.465,13284.881,74.8891429728669,622.3853333333333,2.130434782608696
2002-03-31,10783.5,13394.91,75.12822568282722,637.0036666666666,1.7328888888888903
2002-06-30,10887.46,13477.356,75.71890061331743,648.8823333333333,1.751538461538462
2002-09-30,10984.04,13531.741,76.12674758913214,661.2356666666666,1.7408695652173913
2002-12-31,11061.433,13549.421,76.5767856314104,668.718,1.4442391304347826
2003-03-31,11174.129,13619.434,77.36435220539734,680.8853333333333,1.2496666666666667
2003-06-30,11312.766,13741.107,77.23777900600659,689.8433333333332,1.246703296703296
2003-09-30,11566.669,13970.157,77.8143902476756,695.5506666666666,1.0168478260869562
2003-12-31,11772.234,14131.379,78.10972771292074,707.734,0.996739130434782
2004-03-31,11923.447,14212.34,78.77072108751695,713.6416666666668,1.0018681318681315
2004-06-30,12112.815,14323.017,79.3895233956495,720.9646666666666,1.0113186813186812
2004-09-30,12305.307,14457.832,79.89581619321257,735.8656666666666,1.4307608695652176
2004-12-31,12527.214,14605.595,80.75370121130554,746.9306666666666,1.9498913043478265
2005-03-31,12767.286,14767.846,81.1615481871202,750.89,2.4690000000000003
2005-06-30,12922.656,14839.707,81.71003205114681,755.9466666666667,2.9417582417582415
2005-09-30,13142.642,14956.291,82.94763666741206,765.0446666666667,3.4600000000000004
2005-12-31,13324.204,15041.232,83.72113955257777,775.5896666666667,3.978260869565217
2006-03-31,13599.16,15244.088,84.15711390603487,787.0390000000001,4.454111111111108
2006-06-30,13753.424,15281.525,84.91655310237944,793.049,4.907582417582419
2006-09-30,13870.188,15304.517,85.71818336518758,794.6626666666667,5.245326086956522
2006-12-31,14039.56,15433.643,85.36659114465766,801.3356666666667,5.242934782608695
2007-03-31,14215.651,15478.956,86.20352126640704,806.8506666666667,5.254555555555557
2007-06-30,14402.082,15577.779,87.17982254437447,809.3786666666666,5.252417582417585
2007-09-30,14564.117,15671.605,87.73168169371816,812.7599999999999,5.074347826086956
2007-12-31,14715.058,15767.146,88.80783516231604,817.9363333333332,4.495652173913043
2008-03-31,14706.538,15702.906,89.76979147768587,816.1469999999999,3.1814285714285706
2008-06-30,14865.701,15792.773,90.93764019739793,818.15,2.0847252747252747
2008-09-30,14898.999,15709.562,92.33978997287113,831.4673333333334,1.9406521739130431
2008-12-31,14608.208,15366.607,90.22503308482794,863.6929999999999,0.505326086956522
2009-03-31,14430.901,15187.475,89.60440249714857,893.6973333333332,0.18444444444444447
2009-06-30,14381.236,15161.772,90.08088027441072,905.5006666666667,0.17802197802197803
2009-09-30,14448.882,15216.647,90.85593016534676,911.101,0.15434782608695666
2009-12-31,14651.248,15379.155,91.56727154592288,919.2913333333332,0.11836956521739121
2010-03-31,14764.611,15456.059,91.7124088145576,926.9933333333333,0.1338888888888889
2010-06-30,14980.193,15605.628,91.68006233026883,937.9636666666667,0.19197802197802188
2010-09-30,15141.605,15726.282,91.94881942364191,947.3943333333333,0.18880434782608693
2010-12-31,15309.471,15807.995,92.693351109836,970.2163333333333,0.18956521739130433
2011-03-31,15351.444,15769.911,93.6825909815189,988.8983333333334,0.1545555555555558
2011-06-30,15557.535,15876.839,94.74777477283625,1016.5189999999999,0.09461538461538452
2011-09-30,15647.681,15870.684,95.36559262275136,1033.7826666666667,0.08358695652173913
2011-12-31,15842.267,16048.702,95.79369131046856,1054.5886666666665,0.07434782608695661
2012-03-31,16068.824,16179.968,96.33317441364966,1081.6846666666668,0.10417582417582424
2012-06-30,16207.13,16253.726,96.5365353540041,1104.064,0.15230769230769237
2012-09-30,16319.54,16282.151,96.972369070573,1118.6703333333335,0.14434782608695662
2012-12-31,16420.386,16300.035,97.61718920302481,1146.7789999999998,0.16119565217391307
2013-03-31,16629.05,16441.485,98.00956612113613,1166.3400000000001,0.14366666666666678
2013-06-30,16699.551,16464.402,97.90226017543044,1184.38,0.11582417582417572
2013-09-30,16911.068,16594.743,98.43175805954843,1200.5686666666668,0.08521739130434784
2013-12-31,17133.114,16712.76,98.79572632624104,1221.5183333333334,0.08554347826086955
2014-03-31,17144.281,16654.247,99.4110127121683,1243.5836666666667,0.07222222222222222
2014-06-30,17462.703,16868.109,99.93896359051597,1275.1503333333333,0.09098901098901088
2014-09-30,17743.227,17064.616,100.19464145328533,1287.7,0.08913043478260863
2014-12-31,17852.54,17141.235,99.94571416115035,1310.0756666666666,0.101304347826087
2015-03-31,17991.348,17280.647,99.29878447537516,1343.1556666666665,0.11288888888888882
2015-06-30,18193.707,17380.875,99.97595109211575,1363.5513333333333,0.12560439560439576
2015-09-30,18306.96,17437.08,100.35356113696501,1376.2333333333336,0.13478260869565237
2015-12-31,18332.079,17462.579,100.34596674500132,1403.1546666666666,0.16108695652173913
2016-03-31,18425.306,17565.465,100.28366460352368,1425.061333333333,0.35978021978021996
2016-06-30,18611.617,17618.581,101.08571677699634,1451.0473333333332,0.36934065934065935
2016-09-30,18775.459,17724.489,101.51479992293099,1466.0893333333333,0.39489130434782543
2016-12-31,18968.041,17812.56,102.15919814471833,1487.902,0.4481521739130431
2017-03-31,19153.912,17896.623,102.84184960009901,1512.1176666666668,0.6988888888888874
2017-06-30,19322.92,17996.802,103.02509946543934,1547.615,0.9473626373626354
2017-09-30,19558.693,18126.226,103.51381265197533,1568.7250000000001,1.1536956521739108
2017-12-31,19882.965,18296.685,104.32036520587133,1593.313,1.2046739130434767
2018-03-31,20143.716,18436.262,105.13141814018933,1620.22,1.4470000000000018
2018-06-30,20492.492,18590.004,105.78889559258033,1650.7006666666666,1.7369230769230777
2018-09-30,20659.102,18679.599,106.21783810162735,1675.3933333333334,1.92619565217391
2018-12-31,20813.325,18721.281,106.63285755874067,1699.5420000000001,2.2201086956521734
2019-03-31,21001.591,18833.195,106.821732899609,1712.2573333333332,2.401777777777781
2019-06-30,21289.268,18982.528,107.74473279694433,1732.1323333333337,2.3973626373626375
2019-09-30,21505.012,19112.653,108.08999635750467,1752.8916666666667,2.1921739130434785
2019-12-31,21694.458,19202.31,108.79374334611732,1783.1153333333334,1.645652173913044
2020-03-31,21481.367,18951.992,109.063906808372,1807.0146666666667,1.254945054945055
2020-06-30,19477.444,17258.205,108.208271980491,1924.1596666666667,0.058791208791208756
2020-09-30,21138.574,18560.774,109.45262716739033,2003.0126666666667,0.09260869565217385
2020-12-31,21477.597,18767.778,110.11151098866333,2055.4533333333334,0.0888043478260869
2021-03-31,22038.226,19055.655,111.129159511765,2103.0106666666666,0.07688888888888902
2021-06-30,22740.959,19368.31,113.40452372614634,2167.208,0.06824175824175815
