ISO_Code,Year,EFW,Size of Government,Legal System & Property Rights,Sound Money,Freedom to trade internationally,Regulation,RGDP Per Capita,RGDP Per Capita Lag,Log RGDP Per Capita,Log RGDP Per Capita Lag,North America,Inflation
BGD,1/1/01,-0.065868878,0,-0.129881685,0.042806912,-0.053237569,-0.189032049,-57,-76,-0.031908668,-0.041020322,0,3.494464976
BEL,1/1/14,0.162841574,0.038538016,0.556798616,0.066180398,0.172504014,-0.019813176,-341,-197,-0.008880614,-0.005094729,0,2.621050017
BEL,1/1/13,-0.223999227,0.02327383,-0.678298502,0.051799837,-0.398808084,-0.117963219,-491,-341,-0.012927186,-0.008880614,0,3.725326661
BEL,1/1/12,-0.021186353,-0.059828601,-0.04711504,-0.132539733,-0.010757083,0.144308694,169,-491,0.004468365,-0.012927186,0,4.82239636
BEL,1/1/11,0.023477844,0.001934514,0.010533862,0.017431118,0.106605267,-0.019115539,224,169,0.005891963,0.004468365,0,3.338979636
BEL,1/1/10,0.05151991,0.051045039,-0.153326538,0.027150601,0.064631725,0.268098722,-339,224,-0.008930395,0.005891963,0,2.936231536
BEL,1/1/09,-0.094088903,-0.06457489,-0.03034675,-0.051119141,0.029818646,-0.354222379,-691,-339,-0.018454009,-0.008930395,0,8.952970203
BEL,1/1/08,0.046733376,0.230487697,0.228161252,-0.16326891,-0.061428081,-0.000285079,1174,-691,0.031153845,-0.018454009,0,4.816767674
BEL,1/1/07,0.076891619,0.084970803,0.128319991,0.095274628,0.058538683,0.017353988,18,1174,0.000470183,0.031153845,0,4.282396048
BEL,1/1/06,-0.042418531,0.007750787,-0.160420914,-0.069105853,0.068216045,-0.058532721,-986,18,-0.026086825,0.000470183,0,4.112183912
BEL,1/1/05,0.015774864,0.017547267,-0.13523742,0.023608742,-0.016975798,0.189931528,-668,-986,-0.018068218,-0.026086825,0,3.382646819
BEL,1/1/04,0.047441286,-0.023841132,-0.214092141,0.085184397,0.397071699,-0.007116391,-554,-668,-0.015236399,-0.018068218,0,3.032139473
BEL,1/1/03,0.067089129,0.037409305,0.146723294,0.041451379,0.169768421,-0.059906751,-1115,-554,-0.031387599,-0.015236399,0,2.981574539
BEL,1/1/02,-0.025173873,0.111296805,-0.147187296,0.012524728,-0.011538334,-0.090965271,-123,-1115,-0.003523602,-0.031387599,0,3.838284639
BEL,1/1/01,-0.138399719,0.063308845,0.040786725,-0.028021379,0.202996319,-0.971069105,-455,-123,-0.013143451,-0.003523602,0,3.494464976
BEN,1/1/14,0.47517447,0.603216786,0.475687741,-0.029077406,0.321988736,1.004056491,-47,-25,-0.023136646,-0.012092046,0,2.621050017
BEN,1/1/13,0.261941366,-0.224117647,0.827592949,0.165484808,0.542674497,-0.001927777,-69,-47,-0.034966826,-0.023136646,0,3.725326661
BEN,1/1/12,-0.52564703,-0.277932603,-0.95647622,-0.203546366,-0.922197139,-0.268082823,-72,-69,-0.037839512,-0.034966826,0,4.82239636
BEN,1/1/11,0.14360891,0.390910181,0.233344633,0.023379328,-0.021189338,0.091599748,-31,-72,-0.016743572,-0.037839512,0,3.338979636
BEN,1/1/10,0.092319101,0.015830395,0.049954743,-0.087889204,0.249671915,0.234027654,1,-31,0.000544514,-0.016743572,0,2.936231536
BEN,1/1/09,0.061301065,0.311551042,0.184950942,-0.082335232,-0.147548862,0.039887435,16,1,0.008672141,0.000544514,0,8.952970203
BEN,1/1/08,-0.101277541,0.008358361,0.337201085,-0.610635582,0.103663136,-0.344974707,13,16,0.006991155,0.008672141,0,4.816767674
BEN,1/1/07,0.051648133,-0.320982626,-0.138020873,0.87924005,-0.066237509,-0.095758377,-33,13,-0.017843134,0.006991155,0,4.282396048
BEN,1/1/06,-0.085986348,-0.001863078,-0.226846817,-0.12972396,-0.100690487,0.029192602,-50,-33,-0.02765663,-0.017843134,0,4.112183912
BEN,1/1/05,-0.163452449,-0.134947156,-0.382019989,-0.30227466,0.031236695,-0.029257136,-12,-50,-0.00675298,-0.02765663,0,3.382646819
BEN,1/1/04,-0.083841705,0.09185395,-0.684501499,0.03312399,0.007582134,0.1327329,28,-12,0.015686596,-0.00675298,0,3.032139473
BEN,1/1/03,0.104876444,0.016066264,0.348406652,0.47123101,0.054712541,-0.366034248,-21,28,-0.011741818,0.015686596,0,2.981574539
BEN,1/1/02,-0.064830157,0.014952951,-0.01491798,-0.416629558,-0.085277168,0.17772097,-3,-21,-0.001688714,-0.011741818,0,3.838284639
BEN,1/1/01,-0.404654729,-0.416966962,-1.615496643,-0.04954803,0.025275577,0.033462414,-23,-3,-0.01304243,-0.001688714,0,3.494464976
BOL,1/1/14,0.149230158,0.065743433,0.405859827,-0.001855337,-0.280464862,0.556867727,-193,-155,-0.031623836,-0.024692613,0,2.621050017
BOL,1/1/13,0.186369515,0.014117647,0.148966101,-0.292358536,0.820099889,0.241022472,-218,-193,-0.036965891,-0.031623836,0,3.725326661
BOL,1/1/12,-0.008026195,0.058279742,-0.00303435,0.31503691,-0.395761931,-0.014651348,-278,-218,-0.04921347,-0.036965891,0,4.82239636
BOL,1/1/11,-0.070721657,0.022433421,-0.053612432,-0.258171212,-0.029358404,-0.034899656,-180,-278,-0.033207257,-0.04921347,0,3.338979636
BOL,1/1/10,0.038314329,0.013529412,-0.214340295,0.20902927,0.038163528,0.145189728,-176,-180,-0.03357172,-0.033207257,0,2.936231536
BOL,1/1/09,-0.032018525,-0.009864146,-0.386206219,0.032979553,0.06927249,0.133725695,-118,-176,-0.023156451,-0.03357172,0,8.952970203
